id,title,artist,playlists,filesize,length,file,artwork
0001,Colorful Flowers,Tokyo Music Walker,1,9749988,243.6473,lofi/0001.mp3,35
0002,Magical Moments,Purrple Cat,3,6077364,151.902041,lofi/0002.mp3,31
0003,Memories of Spring,Tokyo Music Walker,1,10548290,263.60485,lofi/0003.mp3,61
0004,Transcendence,Alexander Nakarada,1,32903480,822.5552,lofi/0004.mp3,2
0005,Sonder,Purrple Cat,3,7574630,189.324,lofi/0005.mp3,81
0006,Wildflowers,Purrple Cat,3,1608785,134.028,lofi/0006.mp3,77
0007,Purple Dream,Ghostrifter Official,3,5397141,134.82115,lofi/0007.mp3,41
0008,Missing You,Purrple Cat,2,3645409,227.552653,lofi/0008.mp3,58
0009,Heart Of The Ocean,Purrple Cat,2,2812841,175.516735,lofi/0009.mp3,30
0010,Sunset Drive,Tokyo Music Walker,1,9517892,237.8449,lofi/0010.mp3,76
0011,Bedtime After a Coffee,Barradeen,2,3630083,90.726475,lofi/0011.mp3,92
0012,Downtown Glow,Ghostrifter Official & Devyzed,1,6895657,172.355918,lofi/0012.mp3,91
0013,When I Was A Boy,Tokyo Music Walker,1,7763637,193.988525,lofi/0013.mp3,36
0014,Late At Night,Sakura Girl,2,8660250,216.40155,lofi/0014.mp3,95
0015,Storm Clouds,Purrple Cat,1,7015436,156.342857,lofi/0015.mp3,116
0016,Day Off,Tokyo Music Walker,2,3204736,160.032,lofi/0016.mp3,64
0017,Echoes in Blue,Tokyo Music Walker,2,2448868,153.048,lofi/0017.mp3,73
0018,New Beginnings,Tokyo Music Walker,2,3542176,176.904,lofi/0018.mp3,11
0019,Little Wishes,Tokyo Music Walker,2,3818656,190.728,lofi/0019.mp3,21
0020,Vibin',Purrple Cat,3,1345691,112.104,lofi/0020.mp3,77
0021,Silent Wood,Purrple Cat,1,3007603,187.689796,lofi/0021.mp3,90
0022,Wanted,Purrple Cat,2,3471934,216.711837,lofi/0022.mp3,116
0023,Cozy Place,Keys of Moon,1,10857438,236.9306,lofi/0023.mp3,100
0024,Brunch for Two,Tokyo Music Walker,2,2991706,186.697143,lofi/0024.mp3,82
0025,Slowly,Tokyo Music Walker,2,9991231,249.678375,lofi/0025.mp3,37
0026,Crescent Moon,Purrple Cat,1,5809882,142.968163,lofi/0026.mp3,4
0027,Green Tea,Purrple Cat,2,7892221,197.279925,lofi/0027.mp3,28
0028,Floating Castle,Purrple Cat & Bcalm,3,6643568,166.0636,lofi/0028.mp3,14
0029,Stardust,JSH,2,3892870,243.278367,lofi/0029.mp3,43
0030,Dreams Come True,Purrple Cat & Gerardo Millan,3,5949756,148.7183,lofi/0030.mp3,112
0031,Hibiscus,Purrple Cat ,3,1763438,146.916,lofi/0031.mp3,77
0032,Journey's End,Purrple Cat ,2,2613446,163.056327,lofi/0032.mp3,116
0033,Way Home,Tokyo Music Walker,1,10237955,255.846475,lofi/0033.mp3,93
0034,Where The Waves Take Us,Purrple Cat ,2,3162644,197.381224,lofi/0034.mp3,116
0035,Fragile,Keys of Moon,2,8420776,204.042456,lofi/0035.mp3,12
0036,Lo-Fi Fashion Chill Hip Hop | Vlog,Alex Productions,2,5099209,127.454625,lofi/0036.mp3,86
0037,Equinox,Purrple Cat ,2,5585087,139.601575,lofi/0037.mp3,28
0038,Torn,Purrple Cat ,1,8372387,209.268,lofi/0038.mp3,81
0039,Starlit Beach,Purrple Cat ,3,6956122,173.87102,lofi/0039.mp3,31
0040,Midnight Snack,Purrple Cat ,2,7523372,188.0587,lofi/0040.mp3,10
0041,Where Are We?,Artificial Music,1,3777096,133.178656,lofi/0041.mp3,3
0042,Lo-Fi Lounge Chill Hip Hop | City,Alex Productions,2,2054654,128.130612,lofi/0042.mp3,34
0043,Sugar Coat,Purrple Cat ,2,2879268,179.670204,lofi/0043.mp3,115
0044,Winter Night,Sakura Girl,1,6386552,159.5591,lofi/0044.mp3,6
0045,Moonlit Walk,Purrple Cat ,2,3375385,210.677551,lofi/0045.mp3,60
0046,Subtle Break,Ghostrifter Official,2,5685493,142.132225,lofi/0046.mp3,5
0047,Lo-Fi Lounge Chill Hip Hop | Soul,Alex Productions,2,2737646,113.893875,lofi/0047.mp3,53
0048,Forgotten Places,Purrple Cat ,2,6343675,158.458776,lofi/0048.mp3,59
0049,Lost In Thought,Ghostrifter Official,1,5810893,145.16565,lofi/0049.mp3,22
0050,Herbal Tea,Artificial Music,1,4364916,184.666,lofi/0050.mp3,104
0051,Faithful Mission,Artificial Music,1,5774726,152.482044,lofi/0051.mp3,16
0052,Ethereal,Ghostrifter Official,1,8198184,204.826122,lofi/0052.mp3,23
0053,Meadows In The Sky,Artificial Music,2,5142710,214.104917,lofi/0053.mp3,89
0054,Lazy Afternoon,Purrple Cat,2,4813196,120.241633,lofi/0054.mp3,71
0055,Shipwreck Cove,Purrple Cat,2,2645211,165.041633,lofi/0055.mp3,116
0056,Bird Bath,Purrple Cat,1,5205677,130.056,lofi/0056.mp3,71
0057,Serenity,Ghostrifter Official,1,10802297,270.053875,lofi/0057.mp3,99
0058,Constellations,Purrple Cat,3,6598768,164.937143,lofi/0058.mp3,31
0059,Morning Station,Tokyo Music Walker,2,6789792,169.6424,lofi/0059.mp3,79
0060,Walk Around,Roa,1,8952672,223.71265,lofi/0060.mp3,57
0061,Breakfast in Paris,Alex Productions,1,5136940,128.287347,lofi/0061.mp3,49
0062,Calm Waters,Purrple Cat,1,5176532,129.3877,lofi/0062.mp3,40
0063,Satellite,Purrple Cat,3,6791025,169.743673,lofi/0063.mp3,31
0064,Chill Lo-Fi Saxophone | Anpan,Alex Productions,2,4369580,181.890583,lofi/0064.mp3,68
0065,Alien Sky,Purrple Cat,2,2985867,186.331429,lofi/0065.mp3,58
0066,Shopping Spree,Purrple Cat,2,2183366,136.176327,lofi/0066.mp3,65
0067,Departure,Ghostrifter Official,1,5238274,130.951825,lofi/0067.mp3,38
0068,Cozy Fireplace,Purrple Cat,3,1800097,112.222041,lofi/0068.mp3,65
0069,Night Owls,Purrple Cat,1,8704458,160.548571,lofi/0069.mp3,81
0070,Sundown Drive,Ghostrifter Official,1,8920650,222.981224,lofi/0070.mp3,101
0071,Light My Heart,INOSSI,2,7141985,178.524025,lofi/0071.mp3,72
0072,Gentle Soft Fresh Lo-Fi | Instagram Reel,Alex Productions,2,4658168,116.349375,lofi/0072.mp3,18
0073,City Walk,Sakura Girl,2,7306063,182.546875,lofi/0073.mp3,102
0074,Sorrow,Sappheiros,2,5406308,135.05305,lofi/0074.mp3,69
0075,Out There,Purrple Cat,3,6433536,160.705306,lofi/0075.mp3,59
0076,Distant,Ghostrifter Official,2,5891478,147.252245,lofi/0076.mp3,24
0077,Tabula Rasa,Purrple Cat,2,3081978,192.339592,lofi/0077.mp3,59
