playlist;coverArt;title;filename;artist;albumArt
Lo-fi;LofiCover;Time;Avanti - Time (freetouse.com).mp3;Avanti;time
Lo-fi;LofiCover;Monday Routine;Aventure - Monday Routine (freetouse.com).mp3;Aventure;mondayroutine
Lo-fi;LofiCover;Creamy;Aylex - Creamy (freetouse.com).mp3;Aylex;creamy
Lo-fi;LofiCover;Life is Beautiful;Aylex - Life is Beautiful (freetouse.com).mp3;Aylex;lifeisbeautifull
Lo-fi;LofiCover;Talk;Chill Pulse - Talk (freetouse.com).mp3;Chill Pulse;talk
Lo-fi;LofiCover;Warm Morning;Dagored - Warm Morning (freetouse.com).mp3;Dagored;warmmorning
Lo-fi;LofiCover;Subway Reverie;ESCP - Subway Reverie (freetouse.com).mp3;ESCP;subwayreverie
Lo-fi;LofiCover;Park Vibes;Filo Starquez - Park Vibes (freetouse.com).mp3;Filo Starquez;parkvibes
Lo-fi;LofiCover;Study Night;Filo Starquez - Study Night (freetouse.com).mp3;Filo Starquez;studynight
Lo-fi;LofiCover;A Sweet Story;Guillermo Guareschi - A Sweet Story (freetouse.com).mp3;Guillermo Guareschi;LofiCover
Lo-fi;LofiCover;At Ease;Hazelwood - At Ease (freetouse.com).mp3;Hazelwood;atease
Lo-fi;LofiCover;Coming Of Age;Hazelwood - Coming Of Age (freetouse.com).mp3;Hazelwood;comingofage
Lo-fi;LofiCover;Florida Keys;Hoffy Beats - Florida Keys (freetouse.com).mp3;Hoffy Beats;floridakeys
Lo-fi;LofiCover;September Rain;Hoffy Beats - September Rain (freetouse.com).mp3;Hoffy Beats;septemberrain
Lo-fi;LofiCover;Sticks & Stones;Hoffy Beats - Sticks & Stones (freetouse.com).mp3;Hoffy Beats;sticksandstones
Lo-fi;LofiCover;Angel Walking In The Clouds;Johny Grimes - Angel Walking In The Clouds (freetouse.com).mp3;Johny Grimes;angelwalking
Lo-fi;LofiCover;Bread;Lukrembo - Bread (freetouse.com).mp3;Lukrembo;bread
Lo-fi;LofiCover;Donut;Lukrembo - Donut (freetouse.com).mp3;Lukrembo;donut
Lo-fi;LofiCover;Jay;Lukrembo - Jay (freetouse.com).mp3;Lukrembo;jay
Lo-fi;LofiCover;daydream;massobeats - daydream (freetouse.com).mp3;massobeats;daydream
Lo-fi;LofiCover;gingersweet;massobeats - gingersweet (freetouse.com).mp3;massobeats;gingersweet
Lo-fi;LofiCover;Adventure;Moavii - Adventure (freetouse.com).mp3;Moavii;adventure
Lo-fi;LofiCover;Downtown;Moavii - Downtown (freetouse.com).mp3;Moavii;downtown
Lo-fi;LofiCover;Midnight Bliss;Moavii - Midnight Bliss (freetouse.com).mp3;Moavii;midnightbliss
Lo-fi;LofiCover;Starlight;Moavii - Starlight (freetouse.com).mp3;Moavii;starlight
Lo-fi;LofiCover;Streetview;Moavii - Streetview (freetouse.com).mp3;Moavii;streetview
Lo-fi;LofiCover;Sunset Dreams;Moavii - Sunset Dreams (freetouse.com).mp3;Moavii;sunsetdreams
Lo-fi;LofiCover;Bloom;Nebulite - Bloom (freetouse.com).mp3;Nebulite;bloom
Lo-fi;LofiCover;Kyoto;Nebulite - Kyoto (freetouse.com).mp3;Nebulite;kyoto
Lo-fi;LofiCover;Love in Japan;Nebulite - Love in Japan (freetouse.com).mp3;Nebulite;loveinjapan
Lo-fi;LofiCover;Charmed;Pufino - Charmed (freetouse.com).mp3;Pufino;charmed
Lo-fi;LofiCover;Fantasy;Pufino - Fantasy (freetouse.com).mp3;Pufino;fantasy
Lo-fi;LofiCover;Feeling Good;Pufino - Feeling Good (freetouse.com).mp3;Pufino;feelinggood
Lo-fi;LofiCover;Meticulous;Pufino - Meticulous (freetouse.com).mp3;Pufino;meticulous
Lo-fi;LofiCover;Vibing;Pufino - Vibing (freetouse.com).mp3;Pufino;vibing
Lo-fi;LofiCover;City Life;Spiring - City Life (freetouse.com).mp3;Spiring;citylife
Lo-fi;LofiCover;Enough Time;Unheard - Enough Time (freetouse.com).mp3;Unheard;enoughtime
Lo-fi;LofiCover;Survival Mode;Unheard - Survival Mode (freetouse.com).mp3;Unheard;survivalmode
Calm;CalmCover;Homecoming;Calima - Homecoming (freetouse.com).mp3;Calima;homecoming
Calm;CalmCover;Silence of the Night Forest;Calima - Silence of the Night Forest (freetouse.com).mp3;Calima;silenceofthenightforest
Calm;CalmCover;Spring Flow;Calima - Spring Flow (freetouse.com).mp3;Calima;springflow
Calm;CalmCover;Lofi Kid;Johny Grimes - Lofi Kid (freetouse.com).mp3;Johny Grimes;lofikid
Calm;CalmCover;distant;numbthefeelings - distant (freetouse.com).mp3;numbthefeelings;distant
Calm;CalmCover;redemption;numbthefeelings - redemption (freetouse.com).mp3;numbthefeelings;redemption
Calm;CalmCover;Float;Sunborn - Float (freetouse.com).mp3;Sunborn;float
Calm;CalmCover;Âme;Zambolino - Âme (freetouse.com).mp3;Zambolino;ame
Calm;CalmCover;Tender Touch;Zambolino - Tender Touch (freetouse.com).mp3;Zambolino;tendertouch
Fun;FunCover;Carnival;Aylex - Carnival (freetouse.com).mp3;Aylex;carnival
Fun;FunCover;Fun is Fun;Aylex - Fun is Fun (freetouse.com).mp3;Aylex;funisfun
Fun;FunCover;See Me Through;Burgundy - See Me Through (freetouse.com).mp3;Burgundy;seemethrough
Fun;FunCover;Listen To My Heartbeat;Dagored - Listen To My Heartbeat (freetouse.com).mp3;Dagored;listentomyheartbeat
Fun;FunCover;Mud;Dagored - Mud (freetouse.com).mp3;Dagored;mud
Fun;FunCover;Trinix;Johny Grimes - Trinix (freetouse.com).mp3;Johny Grimes;trinix
Fun;FunCover;Kitty;Piki - Kitty (freetouse.com).mp3;Piki;kitty
Fun;FunCover;Kids Funk;Tetuano - Kids Funk (freetouse.com).mp3;Tetuano;kidsfunk
Fun;FunCover;Midnight Swing;Walen - Midnight Swing (freetouse.com).mp3;Walen;midnightswing
Fun;FunCover;Sneaky Robber;Walen - Sneaky Robber (freetouse.com).mp3;Walen;sneakyrobber
